business_unit,job_id,job_date,revenue,labor,materials,gross_profit,gpm_percent
Phoenix-Production,388510634,2025-10-20,5885.4,1400.0,1775.09,2710.31,46.05
Phoenix-Production,387744395,2025-10-20,5647.4,1977.43,803.74,2866.23,50.75
Phoenix-Production,389438180,2025-10-20,5360.0,0.0,818.2,4541.8,84.74
Phoenix-Production,397597603,2025-10-20,5000.0,4500.0,317.91,182.09,3.64
Phoenix-Production,397655909,2025-10-20,5000.0,1200.0,411.81,3388.19,67.76
Phoenix-Production,388657413,2025-10-20,4985.0,1000.0,875.62,3109.38,62.37
Phoenix-Production,366912331,2025-10-20,4950.0,2000.0,1192.44,1757.56,35.51
Phoenix-Production,389007816,2025-10-20,4900.0,1300.0,1064.4,2535.6,51.75
Phoenix-Production,361712253,2025-10-20,4312.0,1200.0,1078.91,2033.09,47.15
Phoenix-Production,387826576,2025-10-20,4269.15,1800.0,246.1,2223.05,52.07
Phoenix-Production,388675028,2025-10-20,3985.65,1547.5,457.99,1980.16,49.68
Phoenix-Production,397594304,2025-10-20,3850.0,1250.0,457.36,2142.64,55.65
Phoenix-Production,387244959,2025-10-20,3780.0,1050.0,985.61,1744.39,46.15
Phoenix-Production,389664708,2025-10-20,3500.0,1500.0,246.66,1753.34,50.1
Phoenix-Production,389083232,2025-10-20,3485.0,985.38,752.33,1747.29,50.14
Phoenix-Production,387625123,2025-10-20,3350.0,1298.2,644.71,1407.09,42.0
Phoenix-Production,389182317,2025-10-20,2985.6,800.0,538.98,1646.62,55.15
Phoenix-Production,389003965,2025-10-20,2685.75,900.0,411.59,1374.16,51.16
Phoenix-Production,397596564,2025-10-20,2450.0,650.0,127.75,1672.25,68.26
Phoenix-Production,397596121,2025-10-20,2422.5,2252.1,523.59,-353.19,-14.58
Phoenix-Production,388413301,2025-10-20,1920.0,700.0,319.03,900.97,46.93
Phoenix-Production,388978707,2025-10-20,1650.0,362.25,387.66,900.09,54.55
Phoenix-Production,397658510,2025-10-20,1500.0,840.0,8.24,651.76,43.45
Phoenix-Production,388974729,2025-10-20,1241.17,307.65,425.01,508.51,40.97
Phoenix-Production,397657967,2025-10-20,1200.0,720.0,355.92,124.08,10.34
Phoenix-Production,397677704,2025-10-20,1200.0,600.0,0.0,600.0,50.0
